24 cycles	 0.000024 seconds
5 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
5 cycles	 0.000006 seconds
5 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
5 cycles	 0.000007 seconds
5 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000006 seconds
5 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
6 cycles	 0.000007 seconds
5 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
5 cycles	 0.000007 seconds
6 cycles	 0.000006 seconds
6 cycles	 0.000006 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
5 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
5 cycles	 0.000006 seconds
6 cycles	 0.000007 seconds
5 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000006 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000006 seconds
5 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000006 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000008 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000008 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
6 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000007 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
6 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
8 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
7 cycles	 0.000008 seconds
